T0-ATAC-rep1.proatac	T0-ATAC-rep2.proatac	T0-ATAC-rep3.proatac	T24H-ATAC-rep1.proatac	T24H-ATAC-rep2.proatac	T24H-ATAC-rep3.proatac
11	17	8	23	12	21
68	62	215	117	78	100
14	9	36	12	15	23
17	23	44	34	26	16
35	21	84	71	55	80
16	34	123	76	44	91
31	30	112	52	37	58
30	29	116	43	42	49
53	32	84	53	34	44
22	23	41	27	16	26
26	18	71	36	24	33
63	47	195	85	46	80
22	17	50	46	24	44
37	32	148	57	50	61
36	46	143	67	43	58
13	22	66	54	32	48
53	38	116	65	37	51
13	15	45	23	17	19
39	29	108	62	26	60
29	24	69	46	28	51
32	22	100	52	21	48
18	23	40	35	14	23
29	17	60	43	17	22
12	4	9	35	19	40
56	47	144	71	55	73
16	13	33	41	25	20
40	36	128	76	31	63
51	48	234	95	45	87
33	48	235	72	31	57
29	23	103	68	34	61
14	13	55	47	24	44
39	32	119	67	40	70
14	14	48	21	10	31
45	45	211	60	43	68
42	34	153	40	26	41
52	48	166	59	37	72
53	49	233	94	67	110
32	39	100	75	32	69
7	4	27	8	7	20
18	24	56	49	26	52
22	19	48	21	16	25
12	15	23	52	36	57
21	13	26	20	14	21
7	12	10	33	16	33
34	39	64	41	23	50
15	14	29	19	18	29
30	29	115	56	31	54
47	39	173	73	32	55
34	26	115	54	28	40
7	18	27	17	21	21
14	12	25	14	8	15
25	17	33	30	16	21
19	12	32	14	15	14
8	13	18	18	7	12
42	23	86	48	27	41
22	34	53	23	17	26
33	28	59	47	28	22
16	9	27	15	14	20
60	41	178	65	21	70
21	20	43	23	24	33
4	3	11	19	8	17
29	36	142	62	50	83
42	36	93	60	19	48
4	9	7	22	10	21
28	23	56	34	21	37
65	67	160	73	32	50
10	16	26	17	12	23
14	19	28	26	18	27
12	15	22	15	17	17
27	24	107	58	30	53
5	8	18	17	7	17
16	19	59	18	11	15
12	12	15	22	21	21
12	10	16	33	16	19
18	30	54	18	31	27
45	41	162	48	27	55
40	27	77	39	20	34
22	20	67	21	12	25
4	8	25	6	5	12
24	46	134	40	32	43
17	18	63	17	19	35
19	30	80	49	24	33
13	18	63	12	10	17
24	26	126	35	21	43
30	52	121	88	33	48
54	43	232	66	45	75
17	15	72	23	17	32
11	14	23	32	17	40
9	8	35	22	11	18
38	34	96	43	19	32
48	39	155	70	34	56
36	25	62	47	18	48
59	56	168	85	42	89
15	23	79	30	18	41
43	45	206	64	33	59
26	13	134	26	17	34
23	30	99	23	18	26
46	35	97	45	18	40
30	21	52	24	10	35
32	25	55	27	27	37
21	20	67	27	19	40
22	40	87	28	16	36
18	22	69	17	19	25
29	23	112	62	27	47
17	18	73	33	21	45
17	17	37	26	14	23
38	23	83	40	21	36
23	25	44	37	21	30
12	12	58	21	11	18
9	14	28	11	7	18
37	35	68	59	26	60
38	32	105	64	38	55
38	27	83	54	29	43
12	17	16	30	20	21
34	36	94	105	58	99
18	13	29	45	12	35
62	57	203	84	47	75
14	18	32	17	12	22
26	19	63	54	25	46
49	63	201	86	46	86
15	14	25	5	5	13
72	62	311	104	61	123
12	17	26	11	12	14
16	15	24	22	18	14
45	51	148	67	25	62
12	13	42	11	13	20
12	18	72	20	19	25
14	8	12	29	18	28
35	33	85	42	19	36
27	19	62	14	11	22
12	11	22	30	22	28
23	10	45	19	8	13
